checked_at,route_name,origin,destination,departure_at,return_at,price,currency,airline,transfers,link
2026-06-09T02:57:58Z,Recife -> Lisboa (set/2026),REC,LIS,2026-09-08T17:10:00-03:00,2026-09-29T06:35:00+01:00,5718,brl,IB,1,https://www.aviasales.com/search/REC0809LIS29091?t=IB17888874001788939900000635RECMADLIS17906637001790696400000785LISMADREC_3e5a0bf11bee3ed0024e7bedf1e6136f_80175&search_date=09062026&expected_price_uuid=019eaa1c-9736-8010-650d-53d62e67c766&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH1%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=5718&marker=737541
2026-06-09T02:57:58Z,"Recife -> São Paulo (ida, set/2026)",REC,GRU,2026-09-06T11:25:00-03:00,,456,brl,LA,0,https://www.aviasales.com/search/REC0609GRU1?t=LA17886939001788705900000200RECGRU_29848b1e0a437df28e1b77b22d4a2258_6486&search_date=07062026&expected_price_uuid=019ea38d-522e-8030-e199-0149ac1a0425&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&destination_airports=0&expected_price_source=share&expected_price_currency=brl&expected_price=456&marker=737541
2026-06-09T03:20:13Z,"Recife -> Petrolina (ida, 12/08/2026)",REC,PNZ,2026-08-15T08:25:00-03:00,,578,brl,AD,1,https://www.aviasales.com/search/REC1508PNZ1?t=AD17867823001786810200000465RECSSAPNZ_a0f089eb019a3a4abe55c68c1cfc56f8_8225&search_date=06062026&expected_price_uuid=019e9e47-0c27-8010-633a-fc3dafdc129b&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=578&marker=737541
2026-06-09T03:51:49Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,668,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=668&marker=737541
2026-06-09T06:55:48Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,668,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=668&marker=737541
2026-06-09T12:12:02Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,666,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=666&marker=737541
2026-06-09T17:27:16Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,666,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=666&marker=737541
2026-06-09T20:16:37Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,667,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=667&marker=737541
2026-06-09T22:41:57Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,667,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=667&marker=737541
2026-06-10T04:25:55Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,666,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=666&marker=737541
2026-06-10T10:16:36Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,666,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=666&marker=737541
2026-06-10T15:56:29Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,666,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=666&marker=737541
2026-06-10T20:41:28Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,666,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=666&marker=737541
2026-06-10T22:54:37Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,666,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=666&marker=737541
2026-06-11T04:48:31Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,666,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=666&marker=737541
2026-06-11T10:52:21Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,666,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=666&marker=737541
2026-06-11T16:16:33Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,666,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=666&marker=737541
2026-06-11T20:31:21Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,666,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=666&marker=737541
2026-06-11T22:52:19Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,666,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=666&marker=737541
2026-06-12T04:51:16Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,666,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=666&marker=737541
2026-06-12T10:26:21Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,666,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=666&marker=737541
2026-06-12T15:33:26Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,666,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=666&marker=737541
2026-06-12T20:20:48Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,666,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=666&marker=737541
2026-06-12T22:42:22Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,666,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=666&marker=737541
2026-06-13T04:39:09Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,666,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=666&marker=737541
2026-06-13T09:27:56Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,666,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=666&marker=737541
2026-06-13T14:18:12Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,666,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=666&marker=737541
2026-06-13T16:22:01Z,"Recife -> Petrolina (ida, 12/07/2026)",REC,PNZ,2026-07-12T08:15:00-03:00,,666,brl,AD,0,https://www.aviasales.com/search/REC1207PNZ1?t=AD17838441001783848900000080RECPNZ_7150a6ad8bb25f2e4ca56780a4f54c82_9366&search_date=09062026&expected_price_uuid=019eaa57-c6b3-8010-6085-2db8b5e8fc95&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=brl&expected_price=666&marker=737541
